valeur, temps
293, 17.000000
294, 15.000000
295, 17.000000
296, 16.000000
297, 14.000000
298, 15.000000
299, 16.000000
300, 14.000000
301, 16.000000
302, 17.000000
303, 17.000000
304, 14.000000
305, 21.000000
306, 15.000000
307, 19.000000
308, 15.000000
309, 17.000000
310, 15.000000
311, 15.000000
312, 17.000000
313, 16.000000
314, 19.000000
315, 15.000000
316, 19.000000
317, 15.000000
318, 17.000000
319, 16.000000
320, 19.000000
321, 16.000000
322, 17.000000
323, 16.000000
324, 17.000000
325, 16.000000
326, 19.000000
327, 15.000000
328, 18.000000
329, 18.000000
330, 18.000000
331, 20.000000
332, 16.000000
333, 17.000000
334, 17.000000
335, 16.000000
336, 17.000000
337, 17.000000
338, 17.000000
339, 18.000000
340, 16.000000
341, 18.000000
342, 19.000000
343, 18.000000
344, 18.000000
345, 18.000000
346, 18.000000
347, 17.000000
348, 20.000000
349, 18.000000
350, 18.000000
351, 17.000000
352, 18.000000
353, 21.000000
354, 20.000000
355, 17.000000
356, 18.000000
357, 18.000000
358, 18.000000
359, 20.000000
360, 17.000000
361, 18.000000
362, 19.000000
363, 19.000000
364, 20.000000
365, 18.000000
366, 18.000000
367, 19.000000
368, 19.000000
369, 20.000000
370, 21.000000
371, 19.000000
372, 27.000000
373, 9.000000
374, 10.000000
375, 12.000000
376, 10.000000
377, 10.000000
378, 9.000000
379, 9.000000
380, 10.000000
381, 10.000000
382, 9.000000
383, 9.000000
384, 10.000000
385, 10.000000
386, 9.000000
387, 9.000000
388, 10.000000
389, 9.000000
390, 10.000000
391, 16.000000
392, 17.000000
393, 11.000000
394, 11.000000
395, 10.000000
396, 11.000000
397, 10.000000
398, 10.000000
399, 9.000000
400, 11.000000
401, 10.000000
402, 10.000000
403, 10.000000
404, 11.000000
405, 10.000000
406, 10.000000
407, 9.000000
408, 9.000000
409, 11.000000
410, 10.000000
411, 11.000000
412, 10.000000
413, 10.000000
414, 10.000000
415, 10.000000
416, 12.000000
417, 10.000000
418, 10.000000
419, 11.000000
420, 10.000000
421, 10.000000
422, 10.000000
423, 11.000000
424, 10.000000
425, 10.000000
426, 11.000000
427, 10.000000
428, 10.000000
429, 12.000000
430, 11.000000
431, 11.000000
432, 10.000000
433, 10.000000
434, 11.000000
435, 12.000000
436, 11.000000
437, 10.000000
438, 10.000000
439, 30.000000
440, 11.000000
441, 13.000000
442, 10.000000
443, 11.000000
444, 10.000000
445, 13.000000
446, 10.000000
447, 11.000000
448, 10.000000
449, 13.000000
450, 11.000000
451, 11.000000
452, 10.000000
453, 13.000000
454, 24.000000
455, 11.000000
456, 11.000000
457, 10.000000
458, 12.000000
459, 10.000000
460, 11.000000
461, 11.000000
